wk_subject_id,kanji,primary_meaning,other_meanings,onyomi,kunyomi,nanori,radical_subject_ids,radical_characters,radical_meanings,visually_similar_subject_ids,visually_similar_kanji,meaning_mnemonic,reading_mnemonic,url,wk_level,srs_stage,StrokeImg,extra_reading_mnemonic
440,一,One,1,"いち, いつ",ひと,かず,1,一,Ground,,,"Lying on the <radical>ground</radical> is something that looks just like the ground, the number <kanji>One</kanji>. Why is this One lying down on the ground?","As you're sitting there next to <kanji>One</kanji>, holding him up. One starts to scratch himself. Seems like he was on the floor scratching himself because he was <reading>itchy</reading> (いち).",https://www.wanikani.com/kanji/%E4%B8%80,1,,"<img src=""jisho_strokes_04E00.png"">","<kanji>Alone</kanji> is <reading>ひと</reading>り. Occasionally, it <reading>eats</reading> (いつ) at you. But you enjoy your free time.

-<kanji>One Thing</kanji> is <reading>ひと</reading>つ."
443,七,Seven,7,しち,"なな, なの",,4,七,Seven,,,"Lucky for you (as is the case with many of the lower-stroke kanji), this kanji is the same as the radical you've already learned. The radical that makes up this kanji is <radical>seven</radical> and the kanji (which is exactly the same) is also <kanji>seven</kanji>. So, if you know the radical, you know the meaning of the kanji as well.","You know this kanji means <kanji>seven</kanji>, so let's use that to remember the reading too. <kanji>Seven</kanji> is a lucky number, usually, but this time it isn't so good<kanji>Seven</kanji> percent is all she got on her test after <reading>she chea</reading>ted (しち) on it.",https://www.wanikani.com/kanji/%E4%B8%83,1,,"<img src=""jisho_strokes_04E03.png"">","<kanji>Seven Things</kanji> is <reading>なな</reading>つ. These are your <reading>Nana</reading>s (なな), your grandmas, cloned. Just think, ""It's lucky to have seven nanas. They can all cook my favorite foods for me!"" What's more, you have one nana for every day of the week, so you'll get your favorite food every day.

-<kanji>Seventh Day</kanji> is <reading>なの</reading>か. You've been stuck inside working for seven days and today you finally have a day off. Your friend asks you if you want to go for a drive but you say, ""<reading>Nah, no car</reading> today"" (なのか), because you want to relax."
449,三,Three,3,さん,み,,"1, 7","一, 二","Ground, Two",,,"This kanji is made up of the ground radical (which also happens to be the kanji for ""one"") and the radical for two. Combine <radical>one</radical> and <radical>two</radical> together and what do you get? <kanji>Three</kanji>!","<kanji>Three</kanji> is the number of chances you get with <reading>San</reading>ta-san (さん). He has a list, and when you get to three ""naughty things"" lines, that's it. You're on Santa-san's three strikes and you're out list.",https://www.wanikani.com/kanji/%E4%B8%89,1,,"<img src=""jisho_strokes_04E09.png"">","<kanji>Three Things</kanji> is <reading>みっ</reading>つ. The three things that you have are actually three versions of yourself. ""Who is the real one?"" you ask yourself. ""It's <reading>me</reading>!"" ""Wait, no, it's me!"" Just remember that there are three of you, and they're all saying ""me me me me me"" to try and prove that they're the real you.

-<kanji>Third Day</kanji> is <reading>みっ</reading>か."
450,上,Above,"Up, Over",じょう,"うえ, あ, のぼ, うわ, かみ",,"10, 1","ト, 一","Toe, Ground",,,"You find a <radical>toe</radical> on the <radical>ground</radical>. It's weird, because it's <kanji>above</kanji> the ground, not where toes belong.","Of course when you find a toe <kanji>above</kanji> the ground, you want to know where the toe came from. When you examine it, you see a name written on there. This toe belongs to the local clumsy farmhand, <reading>Joe</reading> (じょう).",https://www.wanikani.com/kanji/%E4%B8%8A,1,,"<img src=""jisho_strokes_04E0A.png"">","<kanji>Above</kanji> you is a huge weight. You're holding it up and struggling (it's heavy!). You look up and try to crane your neck to see how much it <reading>weigh</reading>s (うえ), but you can't see the numbers on the side of it. How long can you hold it above your head like this?

When you want <kanji>to lift something</kanji>, you always shout ""<reading>Ah</reading> (あ)!"" to get the extra power you need. Especially when you want to lift something over your head. Go ahead, try it now. Lift something up and shout ""Ah!"" Makes you feel powerful, right?

上げる (<kanji>To Lift Something</kanji>) vs. 上がる (<kanji>To Go Up</kanji>).

上る (のぼる) - You want <kanji>to climb</kanji> the mountain, but a gruff old man grabs your shoulder and says ""<reading>No bo</reading>y (のぼ), you ain't climbing that thing, not today."" The weather isn't good for safety today, so try again later.

上唇 (うわくちびる) - The above lip is the upper lip. The reading for 上 is a bit weird, it's <reading>うわ</reading> instead of うえ. It's almost like うえ, just a little different."
451,下,Below,"Down, Under, Beneath, Underneath","か, げ","した, さ, くだ, お, しも, もと",,"1, 10","一, ト","Ground, Toe",,,"There's the <radical>ground</radical>, and there's a <radical>toe</radical> just <kanji>below</kanji> it. Yep, you know this means ""below"" because the ground has a toe below it in this kanji.","You keep digging in the ground for the toe <kanji>below</kanji>, but instead you hit something hard and metallic. You try to dig around it, but it's huge. Turns out it's a <reading>car</reading> (か). Keep digging until you unearth the car below. (Inside, you find the toe you were looking for.)",https://www.wanikani.com/kanji/%E4%B8%8B,1,,"<img src=""jisho_strokes_04E0B.png"">","What's <kanji>below</kanji> you? What's below your foot? Oh no. The worst thing possible: It's <reading>した</reading>.

You want <kanji>to lower something</kanji>. In this case, it's a tree, so you need a <reading>saw</reading> (さ). Lower the tree to the ground gently while you slowly saw it down!

下げる (<kanji>To Lower Something</kanji>) vs. 下がる (<kanji>To Get Lower</kanji>).

下りる (おりる) - You're stuck on a huge mountain, and the only way <kanji>to go down</kanji> is by using your <reading>o</reading>bi (お). So you'll have <kanji>to descend</kanji> this entire mountain with nothing but your obi, acting as a rope. You scream, ""<reading>OHHHH</reading>! (お)"". Good luck!

You might notice that this is similar to 下る (<reading>くだ</reading>る), and you can use either to describe going down a mountain. The difference is that 下る implies a gradual sloping motion, like floating down a stream, whereas you'd say 下りる if you’re jumping out of trees!

下さい (ください) - <kanji>please</kanji>, <reading>could I</reading> (くだ) have this thing? Pretty please, could I have it?"
442,九,Nine,9,"く, きゅう",ここの,,11,九,Nine,"467, 447","丸, 力","Nice! This kanji is the same as the radical that looks just like it (down to the meaning, even!). The radical is <radical>nine</radical> and the kanji is <kanji>nine</kanji>, making the meaning of this kanji really easy to remember as long as you know the radical first.",When you were <kanji>nine</kanji> your favorite foods were <reading>coo</reading>kies (く) and <reading>cu</reading>cumbers (きゅう). Yum yum!,https://www.wanikani.com/kanji/%E4%B9%9D,1,,"<img src=""jisho_strokes_04E5D.png"">","<kanji>Nine Things</kanji> is <reading>ここの</reading>つ. The nine things you have are <kanji>nine</kanji> <reading>cocono</reading>ts (ここの). As you can guess from the spelling, coconots are not coconuts. Think of them as… fake coconuts. 

-<kanji>Ninth Day</kanji> is <reading>ここの</reading>か."
441,二,Two,2,に,ふた,,7,二,Two,,,"The kanji <kanji>two</kanji> and the radical <radical>two</radical> are the exact same things. Therefore, you know the kanji for two already!","How do you count to <vocabulary>two</vocabulary>? Just use someone's <reading>knee</reading> (に), and then their other knee. There — two knees!",https://www.wanikani.com/kanji/%E4%BA%8C,1,,"<img src=""jisho_strokes_04E8C.png"">","<kanji>Two Things</kanji> is <reading>ふたつ</reading>. Emphasis on the <reading>ふた</reading>.

-<kanji>Two People</kanji> is <reading>ふたり</reading>. Emphasis on the <reading>ふた</reading>."
444,人,Person,People,"にん, じん","ひと, と",,9,人,Person,445,入,Remember how the radical version of this kanji meant <radical>person</radical> because it looks like a person with their arms down and their legs spread out? Well this is a <kanji>person</kanji> too!,"One <kanji>person</kanji> is a <reading>nin</reading>ja (にん) and complained about the new <reading>jean</reading>s (じん) policy. It's harder to more fast with jeans, he argues.",https://www.wanikani.com/kanji/%E4%BA%BA,1,,"<img src=""jisho_strokes_04EBA.png"">","<kanji>Person</kanji> is <reading>ひと</reading>. People generate a lot of body <reading>heat</reading> (ひと). 

Rarely, a <kanji>person</kanji>'s entire value is based on their <reading>toe</reading> (と)."
445,入,Enter,,にゅう,"はい, い",,12,入,Enter,444,人,"The kanji and the radical are the same, so remembering the meaning of this kanji is as simple as making sure you know the radical for <radical>enter</radical> first! If you know the radical, you know this kanji means <kanji>enter</kanji> as well.","Turns out, after you <kanji>enter</kanji> the tent (remember how the person in the radical is entering one?), you're given a <reading>new</reading> (にゅう) one! Why? No idea, but hey — it's new!",https://www.wanikani.com/kanji/%E5%85%A5,1,,"<img src=""jisho_strokes_05165.png"">","入る (はいる) - When you want <kanji>to enter</kanji> the room, what do you do? You say ""<reading>Hi</reading>"" (はい) to everyone to the point of absurdity. ""Hi there. Oh hi Frank. Oh hi there Susan. Oh hi there lamp.""

入れる (いれる) - When you want <kanji>to insert</kanji> your hand into a hole, an <reading>ea</reading>gle (い) flies out out screaming: ""い!"" This is something that happens every time you insert your hand into something: an eagle comes out. You don't know why."
446,八,Eight,8,はち,"や, よう",,2,ハ,Fins,,,"This isn't exactly the same as the <radical>fins</radical> radical, but it's close. Sometimes this will happen (where we have to use a slightly ""modified radical"" version of the original), so it's good to understand that now, early on. In this case, we have fins. How many fins? <kanji>Eight</kanji> fins. How do you know that? Because you caught four fish with two fins each.","After you count and smell all <kanji>eight</kanji> of your fins, it's time to put them away. You open a large <reading>hatch</reading> (はち) and put them in. This is where you keep your fins, always putting in eight at a time because that's what the boss wants.",https://www.wanikani.com/kanji/%E5%85%AB,1,,"<img src=""jisho_strokes_0516B.png"">","<kanji>Eight Things</kanji> is <reading>やっ</reading>つ. You say <reading>Yah</reading> (や) <kanji>eight</kanji> times for good luck.

-<kanji>Eighth Day</kanji> is <reading>よう</reading>か. You also eat <reading>yo</reading>gurt (yogurt) <kanji>eight</kanji> times for good luck. You say yah and eat a bite of yogurt in succession."
